product_category,brand,product_name,price
Phone,Apple,Iphone 12 Pro Max,1300
Phone,Apple, Iphone 12 Pro,1100
Phone,Apple,Iphone 12,1000
Phone,Samsung,Galaxy Z Fold 3,1800
Phone,Samsung,Galaxy Z flip 3,1000
Phone,Samsung,Galaxy Note 20,1200
Phone,Samsung,Galaxy S21,1000
Phone,OnePlus,OnePlus Nond,300
Phone,OnePlus,OnePlus 9,800
Phone,Google,Pixel 5,600
Laptop,Apple,MacBook Pro 13,2000
Laptop,Apple,MacBook Air,1200
Laptop,Microsoft,Surface Laptop 4,2300
Laptop,Dell,XPS 13,2000
Laptop,Dell,XPS 15,2300
Laptop,Dell,XPS 17,2500
Earphone,Apple,Airpods Pro,280
Earphone,Samsung,Galaxy Buds Pro,220
Earphone,Samsung,Galaxy Buds Live,170
Earphone,Sony,WF-1000XM4,250
Headphone,Sony,WH-1000XM4,400
Headphone,Apple,Airpods Max,550
Headphone,Microsoft,Surface Headphones 2,250
Smartwatch,Apple,Apple Watch Series 6,1000
Smartwatch,Apple,Apple Watch SE,400
Smartwatch,Samsung,Galaxy Watch 4,600
Smartwatch,OnePlus,OnePlus Watch,220
